                                                                                            i_item_desc                                                                                            |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------+------------+----------+-------+-----------
 Efficiently running hopes prevent both general, significant con                                                                                                                                   | Conventional childr  |       5164 |        0 |     2 |         2
 Even young stores extend largely. Wro                                                                                                                                                             |                      |       5165 |        0 |     2 |         2
 Gentl                                                                                                                                                                                             | Important issues liv |       5141 |        0 |     2 |         2
 Human, other performances take before with a arrangements. Northern colours should say all. Heavily nuclear reports observe also old magistrate                                                   | Bad cards must make. |       5149 |        0 |     2 |         2
 Important, different task                                                                                                                                                                         | Conventional childr  |       5116 |        0 |     2 |         2
 Local numbers may reap that in a shows. Useful, democratic methods effect under; resources catch. Wearily other roads ought to benef                                                              | Doors canno          |       5165 |        0 |     2 |         2
 N                                                                                                                                                                                                 | Doors canno          |       5165 |        0 |     2 |         2
 Social wor                                                                                                                                                                                        | Conventional childr  |       5149 |        0 |     2 |         2
 Social wor                                                                                                                                                                                        | Doors canno          |       5149 |        0 |     2 |         2
 A little strict results play; widespread doors seem then necessary reasons. Communications explain unfortunately. Policies produce free plants. Minutes say. Tensions retur                       | Conventional childr  |       5154 |        0 |     1 |         1
 Able                                                                                                                                                                                              | Conventional childr  |       5126 |        0 |     1 |         1
 Able, actual men contribute beautiful, national orders. Days get just subsequently useful differences. Generally useful doctors look nations. Heavy minutes celebrate as good te                  | Bad cards must make. |       5158 |        0 |     1 |         1
 Able, actual men contribute beautiful, national orders. Days get just subsequently useful differences. Generally useful doctors look nations. Heavy minutes celebrate as good te                  | Important issues liv |       5159 |        0 |     1 |         1
 Able, variable others cannot see away other writers. Home poor                                                                                                                                    | Doors canno          |       5121 |        0 |     1 |         1
 About different purposes could convey confident, logical years. Hastily financial branches hope therefore vital fans. Ban                                                                         |                      |       5144 |        0 |     1 |         1
 Above                                                                                                                                                                                             | Bad cards must make. |       5117 |        0 |     1 |         1
 Above                                                                                                                                                                                             | Important issues liv |       5117 |        0 |     1 |         1
 Above upper shares should recall from a emotions. Books could not help british,                                                                                                                   | Conventional childr  |       5140 |        0 |     1 |         1
 Accurate children will help only european claims. Delighted assets wou                                                                                                                            |                      |       5161 |        0 |     1 |         1
