 s_store_name |                                                                                               i_item_desc                                                                                               | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------
 able         | Absolute criteria shall go very pleasant, impossible customers. Political changes cannot strengthen there different authorities. Decisively favorite conditions stud                                    |   17.65 |            3.02 |             1.78 | exportischolar #2                                 
 able         | Accessible, ang                                                                                                                                                                                         |    6.57 |            2.00 |             0.88 | namelessunivamalg #10                             
 able         | Actively fair matches will like even; brit                                                                                                                                                              |   11.32 |            3.14 |             2.51 | exportibrand #7                                   
 able         | Activities cover                                                                                                                                                                                        |   11.68 |            4.99 |             3.54 | edu packedu pack #1                               
 able         | Actually other thoughts hold to a places. So only services affect blind, content measures. Formal, other differences would complain open annual, rich methods. Risks acknowledge long; ways             |    5.11 |            4.62 |             4.06 | importomaxi #1                                    
 able         | Additional, popular parents might not think. Schools might not cl                                                                                                                                       |   13.06 |            3.66 |             1.20 | amalgimporto #2                                   
 able         | Again extreme years see weekly front days. Regardless future things serve just actually competent consequences. Different groups will keep severe, long years; main connections include                 |   12.89 |            2.60 |             1.92 | edu packexporti #1                                
 able         | Agencies shall not consider false in a others. Obviously interesting authorities come anyway men. Small,                                                                                                |   16.34 |            6.57 |             3.08 | edu packunivamalg #11                             
 able         | Agents see companies. Weekly clergy might not enable always mere studies. Men throw possible relations. Then static rights wr                                                                           |    0.00 |            4.08 |             1.59 | amalgscholar #2                                   
 able         | Ages must not remain too various kinds; particular, responsible guns use in the rights. Small techniques contain really main, english wages. Firmly industr                                             |   15.63 |           17.58 |             7.38 | exportiedu pack #1                                
 able         | Ago high russians might regulate more than internal american women. Special students hear completely duties. Bizarre accounts will establish mostly for a models. Various strangers will license        |    5.36 |            0.65 |             0.40 | corpunivamalg #3                                  
 able         | Also able components could not include eventually soldiers. Senior, subject skills go fragments. Ready                                                                                                  |    3.65 |            7.00 |             3.08 | importoimporto #1                                 
 able         | Alternatives must handle badly. Strong instruments facilitate already enthusiastically public institutions. Red districts could not make merely irish, available prisoners                              |   13.81 |            2.62 |             1.72 | scholarunivamalg #3                               
