                                                                                               i_item_desc                                                                                               |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------+------------+----------+-------+-----------
 Above                                                                                                                                                                                                   | Bad cards must make. |       5117 |        0 |     1 |         1
 Above                                                                                                                                                                                                   | Important issues liv |       5117 |        0 |     1 |         1
 Actively different proceedings light yet so similar houses. Good circumstances shall not take only levels. Then moral pounds will clean very only national organisations.                               | Important issues liv |       5125 |        0 |     1 |         1
 Adults throw close recent women. Orange, guilty libraries let earnings. Initiatives ought to walk. Simple, successful states might work eventually full orders. Formerly very                           | Conventional childr  |       5119 |        0 |     1 |         1
 Again vital details must not think users; thus total cattle sound central, particular churches; gentle, local materials could appreciate warm, high manufacturers. Qualifications allo                  | Conventional childr  |       5146 |        0 |     1 |         1
 All right deliberate difficulties wait still between a seats; final, actual jobs may mee                                                                                                                | Doors canno          |       5142 |        0 |     1 |         1
 Alone walls mus                                                                                                                                                                                         | Bad cards must make. |       5117 |        0 |     1 |         1
 Already unexpected relations must investigate sooner new fair                                                                                                                                           | Important issues liv |       5158 |        0 |     1 |         1
 Also different others might take great, only problems. Then i                                                                                                                                           | Doors canno          |       5117 |        0 |     1 |         1
 Also different others might take great, only problems. Then i                                                                                                                                           | Important issues liv |       5117 |        0 |     1 |         1
 Alternative, desperate rules might talk only. Cases get recently. Smooth, public departments mean only c                                                                                                | Important issues liv |       5131 |        0 |     1 |         1
 Always pregnant victims would not grow financial, italian eyes; slight, particular minutes respond here in a camps. Perhaps serious opportunities make now except                                       |                      |       5132 |        0 |     1 |         1
 Animals conduct primary, sorry tickets. Bare, labour matters used to buy between a patterns. Light authorities explain rules; future eggs can                                                           | Conventional childr  |       5159 |        0 |     1 |         1
 Approx residential memories enforce there in a parts. Neutral children supply already great, gastri                                                                                                     | Doors canno          |       5131 |        0 |     1 |         1
 As previous bodies would maintain too in a images. Suddenly determined implications shall deal western members. Fundamental pages sit with the americans. Exceptio                                      | Important issues liv |       5166 |        0 |     1 |         1
